County,Value (Dollars),Rank within US
,,(of 3139 counties)
Washington,"114,068",9 of 52
United States,"96,922",N/A
King County,"154,490",24
Snohomish County,"127,475",110
Kitsap County,"114,590",210
Thurston County,"111,908",239
Pierce County,"111,126",247
Clark County,"108,973",273
Island County,"105,012",341
San Juan County,"104,737",350
Skamania County,"104,191",361
Benton County,"103,290",378
Whatcom County,"102,596",400
Columbia County,"101,653",428
Kittitas County,"99,709",475
Skagit County,"99,179",489
Jefferson County,"98,262",518
Spokane County,"94,226",705
Chelan County,"91,893",821
Mason County,"91,478",838
Whitman County,"91,032",856
Walla Walla County,"90,621",873
Douglas County,"89,320",938
Franklin County,"88,256","1,006"
Cowlitz County,"86,738","1,087"
Garfield County,"86,616","1,097"
Klickitat County,"86,578","1,103"
Lewis County,"84,960","1,212"
Clallam County,"84,546","1,254"
Lincoln County,"84,203","1,276"
Pacific County,"83,188","1,350"
Asotin County,"82,213","1,434"
Stevens County,"81,867","1,466"
Grays Harbor County,"79,893","1,600"
Grant County,"79,271","1,641"
Pend Oreille County,"77,168","1,817"
Yakima County,"76,662","1,860"
Ferry County,"74,688","2,013"
Okanogan County,"72,420","2,177"
Adams County,"70,719","2,316"
Wahkiakum County,"65,982","2,574"
