Model,Base Price,EPA range (miles),Dest. Charge,Tax Credit,Effective Price
2023 Fisker Ocean Sport FWD (estimated shipping fee),"$24,999 ",231,"$3,125 ",$0 ,"$28,124 "
2025 Nissan Leaf S,"$28,140 ",149,"$1,140 ",$0 ,"$29,280 "
2024 Volkswagen ID.4 Standard,"$39,735 ",206,"$1,425 ","$7,500 ","$33,660 "
2024 Fiat 500e RED,"$32,500 ",149,"$1,595 ",$0 ,"$34,095 "
2025 Hyundai Kona Electric SE,"$32,875 ",200,"$1,395 ",$0 ,"$34,270 "
2024 Tesla Model 3 Long Range RWD,"$42,490 ",363,"$1,390 ","$7,500 ","$36,380 "
2024 Chevrolet Equinox EV 2LT FWD,"$43,295 ",319,"$1,395 ","$7,500 ","$37,190 "
2025 Nissan Leaf SV Plus,"$36,190 ",212,"$1,140 ",$0 ,"$37,330 "
2023 Fisker Ocean Ultra AWD (estimated shipping fee),"$34,999 ",350,"$3,125 ",$0 ,"$38,124 "
2025 Hyundai Kona Electric SEL,"$36,875 ",261,"$1,395 ",$0 ,"$38,270 "
2024 Hyundai Ioniq 6 SE Standard Range RWD,"$37,500 ",240,"$1,150 ",$0 ,"$38,650 "
2024 Chevrolet Equinox EV 2RS FWD,"$44,795 ",319,"$1,395 ","$7,500 ","$38,690 "
2024 Volkswagen ID.4 S,"$44,855 ",206,"$1,425 ","$7,500 ","$38,780 "
2024 Volkswagen ID.4 Pro,"$44,875 ",291,"$1,425 ","$7,500 ","$38,800 "
2024 Tesla Model Y Long Range RWD,"$44,990 ",320,"$1,390 ","$7,500 ","$38,880 "
2024 Chevrolet Equinox EV 3LT FWD,"$45,295 ",319,"$1,395 ","$7,500 ","$39,190 "
2025 Hyundai Kona Electric N-Line,"$38,275 ",230,"$1,395 ",$0 ,"$39,670 "
2024 Tesla Model 3 RWD,"$38,990 ",272,"$1,390 ",$0 ,"$40,380 "
2024 Chevrolet Equinox EV 2LT AWD,"$46,595 ",285,"$1,395 ","$7,500 ","$40,490 "
2023 Fisker Ocean Extreme AWD (estimated shipping fee),"$37,499 ",360,"$3,125 ",$0 ,"$40,624 "
2024 Chevrolet Equinox EV 3RS FWD,"$46,795 ",319,"$1,395 ","$7,500 ","$40,690 "
2024 Nissan Ariya Engage FWD,"$39,590 ",216,"$1,140 ",$0 ,"$40,730 "
2024 Kia Niro EV Wind,"$39,600 ",253,"$1,375 ",$0 ,"$40,975 "
2024 Honda Prologue EX RWD,"$47,400 ",296,"$1,395 ","$7,500 ","$41,295 "
2024 Tesla Model 3 Long Range AWD,"$47,490 ",341,"$1,390 ","$7,500 ","$41,380 "
2025 Chevrolet Blazer EV LT AWD,"$47,600 ",283,"$1,395 ","$7,500 ","$41,495 "
2024 Tesla Model Y Long Range AWD,"$47,990 ",308,"$1,390 ","$7,500 ","$41,880 "
2024 Ford Mustang Mach-E Select RWD 72 kWh,"$39,995 ",250,"$1,995 ",$0 ,"$41,990 "
2024 Chevrolet Equinox EV 2RS AWD,"$48,095 ",285,"$1,395 ","$7,500 ","$41,990 "
2024 Nissan Ariya Venture+ FWD,"$41,190 ",304,"$1,140 ",$0 ,"$42,330 "
2025 Hyundai Kona Electric Limited,"$41,050 ",261,"$1,395 ",$0 ,"$42,445 "
2024 Chevrolet Equinox EV 3LT AWD,"$48,595 ",285,"$1,395 ","$7,500 ","$42,490 "
2024 Volkswagen ID.4 AWD Pro,"$48,755 ",263,"$1,425 ","$7,500 ","$42,680 "
2024 Chevrolet Blazer EV LT AWD,"$48,800 ",279,"$1,395 ","$7,500 ","$42,695 "
2024 Hyundai Ioniq 5 SE Standard Range RWD,"$41,800 ",220,"$1,395 ",$0 ,"$43,195 "
2024 Hyundai Ioniq 6 SE RWD,"$42,450 ",361,"$1,150 ",$0 ,"$43,600 "
2024 Volkswagen ID.4 Pro S,"$49,995 ",291,"$1,425 ","$7,500 ","$43,920 "
2024 Kia EV6 Light RWD,"$42,600 ",232,"$1,375 ",$0 ,"$43,975 "
2024 Chevrolet Equinox EV 3RS AWD,"$50,095 ",285,"$1,395 ","$7,500 ","$43,990 "
2024 Honda Prologue EX AWD,"$50,400 ",281,"$1,395 ","$7,500 ","$44,295 "
2024 Toyota bZ4X XLE FWD,"$43,070 ",252,"$1,395 ",$0 ,"$44,465 "
2024 Nissan Ariya Engage e-4ORCE AWD,"$43,590 ",205,"$1,140 ",$0 ,"$44,730 "
2024 Nissan Ariya Evolve+ FWD,"$44,190 ",289,"$1,140 ",$0 ,"$45,330 "
2024 Tesla Model Y Performance AWD,"$51,490 ",279,"$1,390 ","$7,500 ","$45,380 "
2024 Ford Mustang Mach-E Select AWD 72 kWh,"$43,495 ",230,"$1,995 ",$0 ,"$45,490 "
2024 Honda Prologue Touring RWD,"$51,700 ",296,"$1,395 ","$7,500 ","$45,595 "
2024 Kia Niro EV Wave,"$44,600 ",253,"$1,375 ",$0 ,"$45,975 "
2024 Ford Mustang Mach-E Premium RWD 72 kWh,"$43,995 ",250,"$1,995 ",$0 ,"$45,990 "
2024 VinFast VF8 Eco,"$46,000 ",264,$0 ,$0 ,"$46,000 "
2024 Mini Countryman SE ALL4 18-inch,"$45,200 ",212,$995 ,$0 ,"$46,195 "
2024 Nissan Ariya Engage+ e-4ORCE AWD,"$45,190 ",272,"$1,140 ",$0 ,"$46,330 "
2024 Subaru Solterra Premium,"$44,995 ",227,"$1,345 ",$0 ,"$46,340 "
2024 Hyundai Ioniq 6 SEL RWD,"$45,250 ",305,"$1,150 ",$0 ,"$46,400 "
2024 Toyota bZ4X XLE AWD,"$45,150 ",228,"$1,395 ",$0 ,"$46,545 "
2024 Mini Countryman SE ALL4 19-inch,"$45,800 ",204,$995 ,$0 ,"$46,795 "
2025 Chevrolet Blazer EV RS AWD,"$52,900 ",283,"$1,395 ","$7,500 ","$46,795 "
2025 Cadillac Optiq Luxury 1 AWD (estimated range),"$52,895 ",300,"$1,495 ","$7,500 ","$46,890 "
2024 Chevrolet Blazer EV RS AWD,"$53,200 ",279,"$1,395 ","$7,500 ","$47,095 "
2024 Hyundai Ioniq 6 SE AWD,"$45,950 ",316,"$1,150 ",$0 ,"$47,100 "
2024 Hyundai Ioniq 5 SE RWD,"$45,850 ",303,"$1,395 ",$0 ,"$47,245 "
2024 Kia EV6 Light Long Range RWD,"$45,950 ",310,"$1,375 ",$0 ,"$47,325 "
2025 Cadillac Optiq Sport 1 AWD (estimated range),"$53,495 ",300,"$1,495 ","$7,500 ","$47,490 "
2024 Volkswagen ID.4 AWD Pro S,"$53,875 ",263,"$1,425 ","$7,500 ","$47,800 "
2024 Chevrolet Blazer EV RS RWD,"$54,200 ",324,"$1,395 ","$7,500 ","$48,095 "
2024 Toyota bZ4X Limited FWD,"$47,180 ",236,"$1,395 ",$0 ,"$48,575 "
2024 Honda Prologue Touring AWD,"$54,700 ",281,"$1,395 ","$7,500 ","$48,595 "
2024 Hyundai Ioniq 5 SEL RWD,"$47,400 ",303,"$1,395 ",$0 ,"$48,795 "
2024 Nissan Ariya Empower+ FWD,"$47,690 ",289,"$1,140 ",$0 ,"$48,830 "
2024 Tesla Model 3 Performance AWD,"$54,990 ",303,"$1,390 ","$7,500 ","$48,880 "
2024 Ford Mustang Mach-E Select AWD 91 kWh,"$46,995 ",400,"$1,995 ",$0 ,"$48,990 "
2024 Ford Mustang Mach-E Premium AWD 72 kWh,"$46,995 ",230,"$1,995 ",$0 ,"$48,990 "
2024 Ford Mustang Mach-E Premium RWD 91 kWh,"$46,995 ",320,"$1,995 ",$0 ,"$48,990 "
2025 Cadillac Optiq Luxury 2 AWD (estimated range),"$55,095 ",300,"$1,495 ","$7,500 ","$49,090 "
2024 Nissan Ariya Evolve+ e-4ORCE AWD,"$48,190 ",272,"$1,140 ",$0 ,"$49,330 "
2025 Cadillac Optiq Sport 2 AWD (estimated range),"$55,595 ",300,"$1,495 ","$7,500 ","$49,590 "
2024 Subaru Solterra Limited,"$48,495 ",222,"$1,345 ",$0 ,"$49,840 "
2024 Hyundai Ioniq 6 SEL AWD,"$48,750 ",270,"$1,150 ",$0 ,"$49,900 "
2024 Kia EV6 Wind RWD,"$48,700 ",310,"$1,375 ",$0 ,"$50,075 "
2024 Toyota bZ4x Limited AWD,"$49,260 ",222,"$1,395 ",$0 ,"$50,655 "
2024 Hyundai Ioniq 5 SE AWD,"$49,350 ",260,"$1,395 ",$0 ,"$50,745 "
2024 Kia EV6 Light Long Range AWD,"$49,850 ",282,"$1,375 ",$0 ,"$51,225 "
2024 Hyundai Ioniq 6 Limited RWD,"$50,150 ",305,"$1,150 ",$0 ,"$51,300 "
2025 Polestar 2 Long Range Single Motor RWD,"$49,900 ",320,"$1,400 ",$0 ,"$51,300 "
2024 Honda Prologue Elite AWD,"$57,900 ",273,"$1,395 ","$7,500 ","$51,795 "
2024 VinFast VF8 Plus,"$51,800 ",243,$0 ,$0 ,"$51,800 "
2024 Ford Mustang Mach-E Premium AWD 91 kWh,"$49,995 ",300,"$1,995 ",$0 ,"$51,990 "
2024 Hyundai Ioniq 5 SEL AWD,"$50,900 ",260,"$1,395 ",$0 ,"$52,295 "
2024 Cadillac Lyriq Tech RWD,"$58,590 ",314,"$1,395 ","$7,500 ","$52,485 "
2024 Ford E-Transit Cutaway,"$51,095 ",N/A,"$2,095 ",$0 ,"$53,190 "
2024 Subary Solterra Touring,"$51,995 ",222,"$1,345 ",$0 ,"$53,340 "
2024 BMW i4 eDrive35 Gran Croupe,"$52,200 ",276,"$1,175 ",$0 ,"$53,375 "
2025 Genesis GV60 Standard RWD,"$52,350 ",294,"$1,250 ",$0 ,"$53,600 "
2024 Ford E-Transit Chassis Cab,"$51,595 ",N/A,"$2,095 ",$0 ,"$53,690 "
2024 Volvo EX40 (XC40 Recharge) Core RWD,"$52,450 ",293,"$1,295 ",$0 ,"$53,745 "
2024 Kia EV6 Wind AWD,"$52,600 ",282,"$1,375 ",$0 ,"$53,975 "
2024 Mercedes-Benz EQB 250+,"$53,050 ",251,"$1,150 ",$0 ,"$54,200 "
2024 Kia EV6 GT-Line RWD,"$52,900 ",310,"$1,375 ",$0 ,"$54,275 "
2024 Hyundai Ioniq 6 Limited AWD,"$53,450 ",270,"$1,150 ",$0 ,"$54,600 "
2024 Hyundai Ioniq 5 Limited RWD,"$53,500 ",303,"$1,395 ",$0 ,"$54,895 "
2024 Volvo EC40 (C40 Recharge) Core RWD,"$53,600 ",297,"$1,295 ",$0 ,"$54,895 "
2024 Lexus RZ 300e Premium FWD,"$54,000 ",266,"$1,175 ",$0 ,"$55,175 "
2024 Nissan Ariya Platinum+ e-4ORCE AWD,"$54,190 ",267,"$1,140 ",$0 ,"$55,330 "
2024 Nissan Ariya Platinum+ e-4ORCE AWD 20-inch,"$54,190 ",257,"$1,140 ",$0 ,"$55,330 "
2024 Volvo EX40 (XC40 Recharge) Core AWD,"$54,200 ",254,"$1,295 ",$0 ,"$55,495 "
2024 Cadillac Lyriq Tech AWD,"$62,090 ",307,"$1,395 ","$7,500 ","$55,985 "
2025 Poelstar 4 Long Range Single Motor RWD,"$54,900 ",300,"$1,400 ",$0 ,"$56,300 "
2024 Audi Q4 55 e-tron Premium AWD,"$55,200 ",258,"$1,195 ",$0 ,"$56,395 "
2024 Kia EV9 Light RWD,"$54,900 ",230,"$1,495 ",$0 ,"$56,395 "
2024 Cadillac Lyriq Luxury 1 RWD,"$62,690 ",314,"$1,395 ","$7,500 ","$56,585 "
2024 Volvo EC40 (C40 Recharge) Core AWD,"$55,350 ",257,"$1,295 ",$0 ,"$56,645 "
2024 Volvo EX40 (XC40 Recharge) Plus RWD,"$55,400 ",293,"$1,295 ",$0 ,"$56,695 "
2024 Volvo EC40 (C40 Recharge) Plus RWD,"$55,400 ",297,"$1,295 ",$0 ,"$56,695 "
2025 Polestar 2 Long Range Dual Motor AWD,"$55,300 ",276,"$1,400 ",$0 ,"$56,700 "
2024 Ford Mustang Mach-E GT AWD 91 kWh,"$54,995 ",280,"$1,995 ",$0 ,"$56,990 "
2024 Cadillac Lyriq Sport 1 RWD,"$63,190 ",314,"$1,395 ","$7,500 ","$57,085 "
2025 Genesis GV60 Standard RWD Plus,"$55,850 ",264,"$1,250 ",$0 ,"$57,100 "
2024 F-150 Lightning XLT 4X4 98 kWh,"$62,995 ",240,"$2,095 ","$7,500 ","$57,590 "
2024 Mercedes-Benz EQB 300 4Matic,"$57,200 ",205,"$1,150 ",$0 ,"$58,350 "
2024 Acura ZDX A-Spec RWD,"$64,500 ",313,"$1,350 ","$7,500 ","$58,350 "
2024 Hyundai Ioniq 5 Limited AWD,"$57,000 ",260,"$1,395 ",$0 ,"$58,395 "
2024 Volvo EX40 (XC40 Recharge) Plus AWD,"$57,150 ",254,"$1,295 ",$0 ,"$58,445 "
2024 Volvo EC40 (C40 Recharge) Plus AWD,"$57,150 ",257,"$1,295 ",$0 ,"$58,445 "
2024 BMW i4 eDrive40 Gran Croupe,"$57,300 ",301,"$1,175 ",$0 ,"$58,475 "
2024 Kia EV6 GT-Line AWD,"$57,600 ",252,"$1,375 ",$0 ,"$58,975 "
2025 BMW i4 eDrive40 Gran Croupe,"$57,900 ",318,"$1,175 ",$0 ,"$59,075 "
2024 Audi Q4 Sportback e-tron Premium AWD,"$58,200 ",258,"$1,195 ",$0 ,"$59,395 "
2024 Lexus RZ 450e Premium AWD,"$58,700 ",220,"$1,175 ",$0 ,"$59,875 "
2024 Ford E-Transit Cargo Van,"$57,935 ",159,"$2,095 ",$0 ,"$60,030 "
2024 Cadillac Lyriq Luxury 1 AWD,"$66,190 ",307,"$1,395 ","$7,500 ","$60,085 "
