Model,Base Price,Dest. Charge,Tax Credit,Effective Price
2024 Acura ZDX A-Spec RWD 20-in,"$64,500 ","$1,350 ",N/A,"$65,850 "
2024 Acura ZDX A-Spec AWD 20-in,"$68,500 ","$1,350 ",N/A,"$69,850 "
2024 Acura ZDX Type S AWD 22-in,"$73,500 ","$1,350 ",N/A,"$74,850 "
2024 Acura ZDX Type S (perf. tires) AWD 22-in,"$74,500 ","$1,350 ",N/A,"$75,850 "
2024 Audi e-tron GT 20-in,"$106,500 ","$1,495 ",N/A,"$107,995 "
2024 Audi RS e-tron GT 20-in,"$147,100 ","$1,495 ",N/A,"$148,595 "
2024 Audi Q4 40 e-tron 19-in,"$49,800 ","$1,195 ",N/A,"$50,995 "
2024 Audi Q4 50 e-tron quattro 19-in,"$55,200 ","$1,195 ",N/A,"$56,395 "
2024 Audi Q4 Sportback 50 e-tron quattro 20-in,"$58,200 ","$1,195 ",N/A,"$59,395 "
2024 Audi Q8 e-tron 20-in,"$74,400 ","$1,195 ",N/A,"$75,595 "
2024 Audi Q8 e-tron Sportback (Ultra) 19-in,"$77,800 ","$1,195 ",N/A,"$78,995 "
2024 Audi Q8 e-tron Sportback 20-in,"$77,800 ","$1,195 ",N/A,"$78,995 "
2024 Audi SQ8 e-tron 20-in,"$89,800 ","$1,195 ",N/A,"$90,995 "
2024 Audi SQ8 e-tron 21/22-in,"$89,800 ","$1,195 ",N/A,"$90,995 "
2024 Audi SQ8 Sportback e-tron 20-in,"$92,600 ","$1,195 ",N/A,"$93,795 "
2024 Audi SQ8 Sportback e-tron 21/22-in,"$92,600 ","$1,195 ",N/A,"$93,795 "
2024 BMW i4 eDrive35 18-in,"$52,200 ",$995 ,N/A,"$53,195 "
2024 BMW i4 eDrive35 19-in,"$52,800 ",$995 ,N/A,"$53,795 "
2024 BMW i4 eDrive40 18-in,"$57,300 ",$995 ,N/A,"$58,295 "
2024 BMW i4 eDrive40 19-in,"$57,900 ",$995 ,N/A,"$58,895 "
2024 BMW i4 xDrive40 18-in,"$61,600 ",$995 ,N/A,"$62,595 "
2024 BMW i4 xDrive40 19-in,"$62,200 ",$995 ,N/A,"$63,195 "
2024 BMW i4 M50 19-in,"$69,700 ",$995 ,N/A,"$70,695 "
2024 BMW i4 M50 20-in,"$72,200 ",$995 ,N/A,"$73,195 "
2024 BMW i5 eDrive40 19-in,"$66,800 ",$995 ,N/A,"$67,795 "
2024 BMW i5 eDrive40 20-in,"$67,600 ",$995 ,N/A,"$68,595 "
2024 BMW i5 eDrive40 21-in,"$72,150 ",$995 ,N/A,"$73,145 "
2025 BMW i5 xDrive40 19-in,"$70,100 ",$995 ,N/A,"$71,095 "
2024 BMW i5 M60 19-in,"$84,100 ",$995 ,N/A,"$85,095 "
2024 BMW i5 M60 20-in,"$84,900 ",$995 ,N/A,"$85,895 "
2024 BMW i5 M60 21-in,"$85,900 ",$995 ,N/A,"$86,895 "
2024 BMW i7 eDrive50 19-in,"$105,700 ",$995 ,N/A,"$106,695 "
2024 BMW i7 eDrive50 20-in,"$107,000 ",$995 ,N/A,"$107,995 "
2024 BMW i7 eDrive50 21-in,"$107,000 ",$995 ,N/A,"$107,995 "
2024 BMW i7 xDrive60 19-in,"$124,200 ",$995 ,N/A,"$125,195 "
2024 BMW i7 xDrive60 20-in,"$124,200 ",$995 ,N/A,"$125,195 "
2024 BMW i7 xDrive60 21-in,"$125,500 ",$995 ,N/A,"$126,495 "
2024 BMW i7 M70 20-in,"$168,500 ",$995 ,N/A,"$169,495 "
2024 BMW i7 M70 21-in,"$168,500 ",$995 ,N/A,"$169,495 "
2024 BMW iX xDrive50 20-in,"$87,100 ",$995 ,N/A,"$88,095 "
2024 BMW iX xDrive50 21-in,"$88,050 ",$995 ,N/A,"$89,045 "
2024 BMW iX xDrive50 22-in,"$89,000 ",$995 ,N/A,"$89,995 "
2024 BMW iX M60 21-in,"$111,500 ",$995 ,N/A,"$112,495 "
2024 BMW iX M60 22-in,"$112,450 ",$995 ,N/A,"$113,445 "
2024 Cadillac Celestiq 23-in,"$340,000*",,N/A,"$340,000 "
2025 Cadillac Escalade IQ 24-in,"$130,000*",,N/A,"$130,000 "
2024 Cadillac Lyriq Tech RWD 20-in,"$57,195 ","$1,395 ",N/A,"$58,590 "
2024 Cadillac Lyriq Tech AWD 20-in,"$60,695 ","$1,395 ",N/A,"$62,090 "
2024 Chevrolet Blazer EV LT eAWD (85) 19-in,"$55,320 ","$1,395 ",N/A,"$56,715 "
2024 Chevrolet Blazer EV RS eAWD (85) 21-in,"$58,820 ","$1,395 ",N/A,"$60,215 "
2024 Chevrolet Blazer EV RS RWD (102) 21-in,"$60,395 ","$1,395 ",N/A,"$61,790 "
2024 Chevrolet Blazer EV SS pAWD (102) 22-in,,,N/A,
2023 Chevrolet Bolt EV 1LT 17-in,"$26,500 ",$995 ,"$7,500 ","$19,995 "
2023 Chevrolet Bolt EUV LT 17-in,"$27,800 ",$995 ,"$7,500 ","$21,295 "
2024 Chevrolet Equinox EV LE FWD 21-in,"$48,995*",,N/A,"$48,995 "
2024 Chevrolet Equinox EV 1LT FWD 19-in,"$34,995*",,N/A,"$34,995 "
2024 Chevrolet Equinox EV 2RS eAWD 20-in,"$52,395*",,N/A,"$52,395 "
2024 Chevrolet Silverado EV 3WT 18-in,"$72,905 ","$1,895 ",N/A,"$74,800 "
2024 Chevrolet Silverado EV 4WT 18-in,"$77,905 ","$1,895 ",N/A,"$79,800 "
2024 Chevrolet Silverado EV RST 24-in,"$105,000 ","$1,895 ",N/A,"$106,895 "
2024 Fiat 500e RED 17-in,"$32,500 ","$1,595 ",N/A,"$34,095 "
2023 Fisker Ocean Sport 20-in,"$38,999*",,N/A,"$38,999 "
2023 Fisker Ocean Ultra 20-in,"$52,999*",,N/A,"$52,999 "
2023 Fisker Ocean Extreme 20-in,"$61,499*",,N/A,"$61,499 "
2023 Fisker Ocean One (sold out) 20-in,"$68,999*",,N/A,"$68,999 "
2024 Ford F-150 Lightning Pro SR 18-in,"$54,995 ","$2,095 ","$7,500 ","$49,590 "
2024 Ford F-150 Lightning XLT SR 18-in,"$64,995 ","$2,095 ","$7,500 ","$59,590 "
2024 Ford F-150 Lightning Flash ER 20-in,"$73,495 ","$2,095 ","$7,500 ","$68,090 "
2024 Ford F-150 Lightning Lariat ER 20-in,"$79,495 ","$2,095 ","$7,500 ","$74,090 "
2024 Ford F-150 Lightning Platinum ER 22-in,"$84,995 ","$2,095 ",N/A,"$87,090 "
2024 Ford F-150 Lightning Platinum B. ER 22-in,"$92,995 ","$2,095 ",N/A,"$95,090 "
2023 Ford Must. Mach-E Select SR RWD 18-in,"$42,995 ","$1,800 ",N/A,"$44,795 "
2023 Ford Must. Mach-E Select SR AWD 18-in,"$45,995 ","$1,800 ",N/A,"$47,795 "
2023 Ford Must. Mach-E Prem. SR RWD 19-in,"$46,995 ","$1,800 ",N/A,"$48,795 "
2023 Ford Must. Mach-E Prem. SR AWD 19-in,"$49,995 ","$1,800 ",N/A,"$51,795 "
2023 Ford Must. Mach-E Prem. ER RWD 19-in,"$53,995 ","$1,800 ",N/A,"$55,795 "
2023 Ford Must. Mach-E Prem. ER AWD 19-in,"$56,995 ","$1,800 ",N/A,"$58,795 "
2023 Ford Must. Mach-E R1 ER AWD 18-in,"$56,995 ","$1,800 ",N/A,"$58,795 "
2023 Ford Must. Mach-E GT ER AWD 20-in,"$59,995 ","$1,800 ",N/A,"$61,795 "
2023 Ford Must. Mach-E GT P ER AWD 20-in,"$64,995 ","$1,800 ",N/A,"$66,795 "
2024 Genesis Electrified G80 AWD 19-in,"$74,375 ","$1,195 ",N/A,"$75,570 "
2024 Genesis GV60 Standard RWD 19-in,"$52,000 ","$1,195 ",N/A,"$53,195 "
2024 Genesis GV60 Advanced AWD 20-in,"$60,550 ","$1,195 ",N/A,"$61,745 "
2024 Genesis GV60 Performance AWD 21-in,"$69,550 ","$1,195 ",N/A,"$70,745 "
2024 Genesis Electrified GV70 Adv AWD 20-in,"$66,450 ","$1,125 ",N/A,"$67,575 "
"2024 GMC Hummer EV Pickup 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 "
"2024 GMC Hummer EV Pickup 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV Pickup 3X 24, 22-in AT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV Pickup 3X 24, 18-in MT","$124,640 ","$2,295 ",N/A,"$126,935 "
"2024 GMC Hummer EV Pickup 2X 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 "
"2024 GMC Hummer EV Pickup 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 "
"2024 GMC Hummer EV SUV 3X 20, 22-in AT","$104,650 ","$2,295 ",N/A,"$106,945 "
"2024 GMC Hummer EV SUV 3X 20, 18-in MT","$114,645 ","$2,295 ",N/A,"$116,940 "
"2024 GMC Hummer EV SUV 2X, 20, 22-in AT","$96,550 ","$2,295 ",N/A,"$98,845 "
"2024 GMC Hummer EV SUV 2X 20, 18-in MT","$106,545 ","$2,295 ",N/A,"$108,840 "
2024 GMC Sierra EV Denali Edition 1 24-in,"$107,000 ","$1,695 ",N/A,"$108,695 "
