Year_Make_Model,Vehicle Type,Base MSRP,Electric Range
2000 FORD RANGER,BEV,0.0,58.0
2002 TOYOTA RAV4,BEV,0.0,95.0
2003 TOYOTA RAV4,BEV,0.0,95.0
2008 TESLA ROADSTER,BEV,0.0,0.0
2010 TESLA ROADSTER,BEV,110950.0,245.0
2010 WHEEGO ELECTRIC CARS WHEEGO,PHEV,32995.0,100.0
2011 AZURE DYNAMICS TRANSIT CONNECT ELECTRIC,BEV,0.0,56.0
2011 CHEVROLET VOLT,PHEV,0.0,35.0
2011 NISSAN LEAF,BEV,0.0,73.0
2011 TESLA ROADSTER,BEV,109000.0,245.0
2011 TH!NK CITY,BEV,0.0,100.0
2012 CHEVROLET VOLT,PHEV,0.0,35.0
2012 FISKER KARMA,PHEV,102000.0,33.0
2012 FORD FOCUS,BEV,0.0,76.0
2012 MITSUBISHI I-MIEV,BEV,0.0,62.0
2012 NISSAN LEAF,BEV,0.0,73.0
2012 TESLA MODEL S,BEV,59900.0,265.0
2012 TOYOTA PRIUS,PHEV,0.0,6.0
2012 TOYOTA RAV4,BEV,0.0,103.0
2013 CHEVROLET VOLT,PHEV,0.0,38.0
2013 FIAT 500,BEV,0.0,87.0
2013 FORD C-MAX,PHEV,0.0,19.0
2013 FORD FOCUS,BEV,0.0,76.0
2013 FORD FUSION,PHEV,0.0,19.0
2013 NISSAN LEAF,BEV,0.0,75.0
2013 SMART FORTWO ELECTRIC DRIVE,BEV,0.0,68.0
2013 TESLA MODEL S,BEV,69900.0,208.0
2013 TOYOTA PRIUS,PHEV,0.0,6.0
2013 TOYOTA RAV4,BEV,0.0,103.0
2014 BMW I3,BEV,0.0,81.0
2014 BMW I3,PHEV,0.0,72.0
2014 BMW I8,PHEV,0.0,14.0
2014 CADILLAC ELR,PHEV,0.0,37.0
2014 CHEVROLET SPARK,BEV,0.0,82.0
2014 CHEVROLET VOLT,PHEV,0.0,38.0
2014 FIAT 500,BEV,0.0,87.0
2014 FORD C-MAX,PHEV,0.0,19.0
2014 FORD FOCUS,BEV,0.0,76.0
2014 FORD FUSION,PHEV,0.0,19.0
2014 HONDA ACCORD,PHEV,0.0,13.0
2014 MERCEDES-BENZ B-CLASS,BEV,0.0,87.0
2014 MITSUBISHI I-MIEV,BEV,0.0,62.0
2014 NISSAN LEAF,BEV,0.0,84.0
2014 PORSCHE PANAMERA,PHEV,0.0,15.0
2014 SMART FORTWO ELECTRIC DRIVE,BEV,0.0,58.0
2014 TESLA MODEL S,BEV,69900.0,208.0
2014 TOYOTA PRIUS,PHEV,0.0,6.0
2014 TOYOTA RAV4,BEV,0.0,103.0
2015 BMW I3,BEV,0.0,81.0
2015 BMW I3,PHEV,0.0,72.0
2015 BMW I8,PHEV,0.0,14.0
2015 CHEVROLET SPARK,BEV,0.0,82.0
2015 CHEVROLET VOLT,PHEV,0.0,38.0
2015 FIAT 500,BEV,0.0,87.0
2015 FORD C-MAX,PHEV,0.0,19.0
2015 FORD FOCUS,BEV,0.0,76.0
2015 FORD FUSION,PHEV,0.0,19.0
2015 KIA SOUL,BEV,0.0,93.0
2015 MERCEDES-BENZ B-CLASS,BEV,0.0,87.0
2015 MERCEDES-BENZ S-CLASS,PHEV,0.0,14.0
2015 NISSAN LEAF,BEV,0.0,84.0
2015 PORSCHE 918,PHEV,845000.0,12.0
2015 PORSCHE CAYENNE,PHEV,0.0,14.0
2015 PORSCHE PANAMERA,PHEV,0.0,15.0
2015 SMART FORTWO ELECTRIC DRIVE,BEV,0.0,68.0
2015 TESLA MODEL S,BEV,0.0,208.0
2015 TOYOTA PRIUS,PHEV,0.0,6.0
2015 VOLKSWAGEN E-GOLF,BEV,0.0,83.0
2016 AUDI A3,PHEV,0.0,16.0
2016 BMW 330E,PHEV,43700.0,14.0
2016 BMW I3,BEV,0.0,81.0
2016 BMW I3,PHEV,0.0,72.0
2016 BMW I8,PHEV,0.0,14.0
2016 BMW X5,PHEV,0.0,14.0
2016 CADILLAC ELR,PHEV,0.0,36.0
2016 CHEVROLET SPARK,BEV,0.0,82.0
2016 CHEVROLET VOLT,PHEV,0.0,53.0
2016 FIAT 500,BEV,0.0,84.0
2016 FORD C-MAX,PHEV,0.0,19.0
2016 FORD FOCUS,BEV,0.0,76.0
2016 FORD FUSION,PHEV,0.0,19.0
2016 HYUNDAI SONATA,PHEV,0.0,27.0
2016 KIA SOUL,BEV,31950.0,93.0
2016 MERCEDES-BENZ B-CLASS,BEV,0.0,87.0
2016 MERCEDES-BENZ C-CLASS,PHEV,0.0,11.0
2016 MERCEDES-BENZ GLE-CLASS,PHEV,0.0,10.0
2016 MERCEDES-BENZ S-CLASS,PHEV,0.0,14.0
2016 MITSUBISHI I-MIEV,BEV,0.0,62.0
2016 NISSAN LEAF,BEV,0.0,84.0
2016 PORSCHE CAYENNE,PHEV,0.0,14.0
2016 PORSCHE PANAMERA,PHEV,0.0,15.0
2016 SMART FORTWO,BEV,0.0,68.0
2016 TESLA MODEL S,BEV,0.0,210.0
2016 TESLA MODEL X,BEV,0.0,200.0
2016 VOLKSWAGEN E-GOLF,BEV,0.0,83.0
2016 VOLVO XC90,PHEV,0.0,13.0
2017 AUDI A3,PHEV,0.0,16.0
2017 BMW 330E,PHEV,44100.0,14.0
2017 BMW 740E,PHEV,89100.0,14.0
2017 BMW I3,BEV,0.0,81.0
2017 BMW I3,PHEV,0.0,97.0
2017 BMW I8,PHEV,0.0,14.0
2017 BMW X5,PHEV,0.0,14.0
2017 CADILLAC CT6,PHEV,75095.0,31.0
2017 CHEVROLET BOLT EV,BEV,0.0,238.0
2017 CHEVROLET VOLT,PHEV,0.0,53.0
2017 CHRYSLER PACIFICA,PHEV,0.0,33.0
2017 FIAT 500,BEV,0.0,84.0
2017 FORD C-MAX,PHEV,0.0,20.0
2017 FORD FOCUS,BEV,0.0,100.0
2017 FORD FUSION,PHEV,0.0,21.0
2017 HYUNDAI IONIQ,BEV,0.0,124.0
2017 HYUNDAI SONATA,PHEV,0.0,27.0
2017 KIA OPTIMA,PHEV,0.0,29.0
2017 KIA SOUL,BEV,32250.0,93.0
2017 MERCEDES-BENZ B-CLASS,BEV,0.0,87.0
2017 MERCEDES-BENZ C-CLASS,PHEV,0.0,8.0
2017 MERCEDES-BENZ GLE-CLASS,PHEV,0.0,10.0
2017 MERCEDES-BENZ S-CLASS,PHEV,0.0,12.0
2017 MITSUBISHI I-MIEV,BEV,0.0,59.0
2017 NISSAN LEAF,BEV,0.0,107.0
2017 PORSCHE CAYENNE,PHEV,0.0,14.0
2017 SMART FORTWO,BEV,0.0,58.0
2017 TESLA MODEL 3,BEV,0.0,220.0
2017 TESLA MODEL S,BEV,0.0,210.0
2017 TESLA MODEL X,BEV,0.0,200.0
2017 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,25.0
2017 VOLKSWAGEN E-GOLF,BEV,0.0,125.0
2017 VOLVO XC90,PHEV,0.0,14.0
2018 AUDI A3,PHEV,0.0,16.0
2018 BMW 330E,PHEV,45600.0,14.0
2018 BMW 530E,PHEV,54950.0,14.0
2018 BMW 740E,PHEV,90700.0,14.0
2018 BMW I3,BEV,0.0,114.0
2018 BMW I3,PHEV,0.0,97.0
2018 BMW X5,PHEV,0.0,13.0
2018 CADILLAC CT6,PHEV,75095.0,31.0
2018 CHEVROLET BOLT EV,BEV,0.0,238.0
2018 CHEVROLET VOLT,PHEV,0.0,53.0
2018 CHRYSLER PACIFICA,PHEV,0.0,33.0
2018 FIAT 500,BEV,0.0,84.0
2018 FORD FOCUS,BEV,0.0,100.0
2018 FORD FUSION,PHEV,0.0,21.0
2018 HONDA CLARITY,PHEV,0.0,47.0
2018 HYUNDAI IONIQ,BEV,0.0,124.0
2018 HYUNDAI IONIQ,PHEV,0.0,29.0
2018 KIA NIRO,PHEV,0.0,26.0
2018 KIA OPTIMA,PHEV,0.0,29.0
2018 KIA SOUL,BEV,33950.0,111.0
2018 MERCEDES-BENZ C-CLASS,PHEV,0.0,8.0
2018 MERCEDES-BENZ GLC-CLASS,PHEV,0.0,9.0
2018 MERCEDES-BENZ GLE-CLASS,PHEV,0.0,8.0
2018 MINI COUNTRYMAN,PHEV,36800.0,12.0
2018 MITSUBISHI OUTLANDER,PHEV,0.0,22.0
2018 NISSAN LEAF,BEV,0.0,151.0
2018 PORSCHE CAYENNE,PHEV,0.0,14.0
2018 PORSCHE PANAMERA,PHEV,0.0,14.0
2018 SMART EQ FORTWO,BEV,0.0,58.0
2018 TESLA MODEL 3,BEV,0.0,215.0
2018 TESLA MODEL S,BEV,0.0,249.0
2018 TESLA MODEL X,BEV,0.0,238.0
2018 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,25.0
2018 VOLKSWAGEN E-GOLF,BEV,0.0,125.0
2018 VOLVO S90,PHEV,0.0,21.0
2018 VOLVO XC60,PHEV,52900.0,17.0
2018 VOLVO XC90,PHEV,64950.0,19.0
2019 AUDI E-TRON,BEV,0.0,204.0
2019 BMW 530E,PHEV,55700.0,15.0
2019 BMW 740E,PHEV,91250.0,14.0
2019 BMW I3,BEV,0.0,153.0
2019 BMW I3,PHEV,0.0,126.0
2019 BMW I8,PHEV,0.0,17.0
2019 CHEVROLET BOLT EV,BEV,0.0,238.0
2019 CHEVROLET VOLT,PHEV,0.0,53.0
2019 CHRYSLER PACIFICA,PHEV,39995.0,32.0
2019 FIAT 500,BEV,0.0,84.0
2019 FORD FUSION,PHEV,0.0,26.0
2019 HONDA CLARITY,PHEV,0.0,47.0
2019 HYUNDAI IONIQ,BEV,0.0,29.0
2019 HYUNDAI IONIQ,PHEV,0.0,29.0
2019 HYUNDAI KONA,BEV,0.0,258.0
2019 HYUNDAI SONATA,PHEV,0.0,28.0
2019 JAGUAR I-PACE,BEV,0.0,234.0
2019 KIA NIRO,BEV,0.0,239.0
2019 KIA NIRO,PHEV,0.0,26.0
2019 KIA OPTIMA,PHEV,0.0,29.0
2019 KIA SOUL,BEV,0.0,0.0
2019 MERCEDES-BENZ GLC-CLASS,PHEV,0.0,10.0
2019 MINI COUNTRYMAN,PHEV,36900.0,12.0
2019 MITSUBISHI OUTLANDER,PHEV,0.0,22.0
2019 NISSAN LEAF,BEV,0.0,150.0
2019 PORSCHE CAYENNE,PHEV,0.0,13.0
2019 PORSCHE PANAMERA,PHEV,0.0,14.0
2019 SMART EQ FORTWO,BEV,0.0,58.0
2019 SUBARU CROSSTREK,PHEV,34995.0,17.0
2019 TESLA MODEL 3,BEV,0.0,220.0
2019 TESLA MODEL S,BEV,0.0,270.0
2019 TESLA MODEL X,BEV,0.0,289.0
2019 TOYOTA PRIUS PRIME (PHEV),PHEV,0.0,25.0
2019 VOLKSWAGEN E-GOLF,BEV,0.0,125.0
2019 VOLVO S60,PHEV,0.0,22.0
2019 VOLVO S90,PHEV,0.0,21.0
2019 VOLVO XC60,PHEV,52900.0,17.0
2019 VOLVO XC90,PHEV,0.0,17.0
2020 AUDI A8 E,PHEV,0.0,17.0
2020 AUDI E-TRON SPORTBACK,BEV,0.0,218.0
2020 AUDI Q5 E,PHEV,0.0,20.0
2020 BMW 530E,PHEV,0.0,20.0
2020 BMW 745E,PHEV,0.0,16.0
2020 BMW I3,BEV,0.0,153.0
2020 BMW I3,PHEV,0.0,126.0
2020 BMW X3,PHEV,0.0,17.0
2020 CHEVROLET BOLT EV,BEV,0.0,259.0
2020 CHRYSLER PACIFICA,PHEV,0.0,32.0
2020 FORD FUSION,PHEV,0.0,26.0
2020 HONDA CLARITY,PHEV,0.0,47.0
2020 HYUNDAI IONIQ,BEV,0.0,170.0
2020 HYUNDAI IONIQ,PHEV,0.0,29.0
2020 HYUNDAI KONA,BEV,0.0,258.0
2020 JAGUAR I-PACE,BEV,0.0,234.0
2020 KIA NIRO,BEV,0.0,239.0
2020 KIA NIRO,PHEV,0.0,26.0
2020 KIA OPTIMA,PHEV,0.0,28.0
2020 LAND ROVER RANGE ROVER,PHEV,0.0,19.0
2020 LAND ROVER RANGE ROVER SPORT,PHEV,0.0,19.0
2020 LINCOLN AVIATOR,PHEV,0.0,21.0
