Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2021 MINI Cooper SE,"$29,900 ",$850 ,"$7,500 ","$23,250 ",110.0
2021 Nissan LEAF S (40 kWh),"$31,670 ",$950 ,"$7,500 ","$25,120 ",149.0
2021 Hyundai IONIQ Electric,"$33,245 ","$1,005 ","$7,500 ","$26,750 ",170.0
2021 Hyundai Kona Electric,"$37,390 ","$1,175 ","$7,500 ","$31,065 ",258.0
2021 Nissan LEAF e+ S (62 kWh),"$38,270 ",$950 ,"$7,500 ","$31,720 ",226.0
2022 Chevrolet Bolt EV,"$31,000 ",$995 ,,"$31,995 ",259.0
2020 Kia Niro EV (e-Niro),"$39,090 ","$1,120 ","$7,500 ","$32,710 ",239.0
2021 Volkswagen ID.4 Pro S,"$39,995 ",$920 ,"$7,500 ","$33,415 ",250.0
2021 Nissan LEAF e+ SV/SL (62 kWh),"$40,520 ",$950 ,"$7,500 ","$33,970 ",215.0
2022 Chevrolet Bolt EUV,"$33,000 ",$995 ,,"$33,995 ",250.0
2021 Ford Mustang Mach-E Select SR RWD,"$42,895 ","$1,100 ","$7,500 ","$36,495 ",230.0
2021 Chevrolet Bolt EV,"$36,500 ",$995 ,,"$37,495 ",259.0
2021 BMW i3,"$44,450 ",$995 ,"$7,500 ","$37,945 ",153.0
2021 Tesla Model 3 Standard Range Plus,"$36,990 ","$1,200 ",,"$38,190 ",263.0
2021 Ford Mustang Mach-E Select SR AWD,"$45,595 ","$1,100 ","$7,500 ","$39,195 ",211.0
2021 BMW i3s,"$47,650 ",$995 ,"$7,500 ","$41,145 ",153.0
2021 Ford Mustang Mach-E Route 1 ER RWD,"$49,800 ","$1,100 ","$7,500 ","$43,400 ",305.0
2021 Ford Mustang Mach-E Premium ER RWD,"$52,000 ","$1,100 ","$7,500 ","$45,600 ",300.0
2021 Tesla Model 3 Long Range AWD,"$45,990 ","$1,200 ",,"$47,190 ",353.0
2021 Volvo XC40 Recharge,"$53,990 ",$995 ,"$7,500 ","$47,485 ",208.0
2021 Ford Mustang Mach-E Premium ER AWD,"$54,700 ","$1,100 ","$7,500 ","$48,300 ",270.0
"2021 Tesla Model Y Long Range AWD 19""","$48,990 ","$1,200 ",,"$50,190 ",326.0
2021 Polestar 2,"$59,900 ","$1,300 ","$7,500 ","$53,700 ",233.0
2021 Ford Mustang Mach-E GT ER AWD,"$60,500*","$1,100 ","$7,500 ","$54,100 ",250.0
"2021 Tesla Model 3 Perf. LR AWD 20""","$55,990 ","$1,200 ",,"$57,190 ",315.0
2021 Audi e-tron,"$65,900 ","$1,095 ","$7,500 ","$59,495 ",222.0
"2021 Tesla Model Y Perf. LR AWD 21""","$60,990 ","$1,200 ",,"$62,190 ",303.0
2021 Audi e-tron Sportback,"$69,100 ","$1,045 ","$7,500 ","$62,645 ",218.0
2020 Jaguar I-PACE,"$69,850 ","$1,025 ","$7,500 ","$63,375 ",234.0
2021 Porsche Taycan (79 kWh),"$79,900 ","$1,350 ","$7,500 ","$73,750 ",
2021 Porsche Taycan (93 kWh),"$85,680 ","$1,350 ","$7,500 ","$79,530 ",
"2021 Tesla Model S Long Range (AWD) 19""","$79,990 ","$1,200 ",,"$81,190 ",412.0
"2021 Tesla Model X Long Range (AWD) 20""","$89,990 ","$1,200 ",,"$91,190 ",360.0
2021 Porsche Taycan 4S (79 kWh),"$103,800 ","$1,350 ","$7,500 ","$97,650 ",199.0
2021 Porsche Taycan 4S (93 kWh),"$109,370 ","$1,350 ","$7,500 ","$103,220 ",227.0
"2021 Tesla Model S Plaid 19""","$119,990 ","$1,200 ",,"$121,190 ",340.0
"2021 Tesla Model X Plaid 20""","$119,990 ","$1,200 ",,"$121,190 ",390.0
"2021 Tesla Model S Plaid+ 19""","$139,990 ","$1,200 ",,"$141,190 ",520.0
2021 Porsche Taycan Turbo (93 kWh),"$150,900 ","$1,350 ","$7,500 ","$144,750 ",212.0
2021 Porsche Taycan Turbo S (93 kWh),"$185,000 ","$1,350 ","$7,500 ","$178,850 ",201.0
2022 Nissan LEAF S (40 kWh),"$27,400 ",$975 ,"$7,500 ","$20,875 ",149.0
2022 MINI Cooper SE,"$29,900 ",$850 ,"$7,500 ","$23,250 ",114.0
2022 Nissan LEAF e+ S (62 kWh),"$32,400 ",$975 ,"$7,500 ","$25,875 ",226.0
2022 Mazda MX-30,"$33,470 ","$1,175 ","$7,500 ","$27,145 ",100.0
2022 Hyundai Kona Electric,"$34,000 ","$1,185 ","$7,500 ","$27,685 ",258.0
2022 Nissan LEAF e+ SV (62 kWh),"$37,400 ",$975 ,"$7,500 ","$30,875 ",215.0
2022 Kia Niro EV (e-Niro),"$39,990 ","$1,175 ","$7,500 ","$33,665 ",239.0
2021 Volkswagen ID.4 Pro,"$39,995 ","$1,195 ","$7,500 ","$33,690 ",260.0
2022 Chevrolet Bolt EUV,"$33,000 ",$995 ,,"$33,995 ",247.0
2021 Volkswagen ID.4 AWD Pro,"$43,675 ","$1,195 ","$7,500 ","$37,370 ",249.0
2021 Volkswagen ID.4 Pro S,"$44,495 ","$1,195 ","$7,500 ","$38,190 ",250.0
"2022 Polestar 2 Single Motor 19""","$45,900 ","$1,300 ","$7,500 ","$39,700 ",265.0
2021 Tesla Model 3 Standard Range Plus,"$39,990 ","$1,200 ",,"$41,190 ",263.0
2021 Volkswagen ID.4 AWD Pro S,"$48,175 ","$1,195 ","$7,500 ","$41,870 ",240.0
"2022 Polestar 2 Dual Motor 19""","$49,900 ","$1,300 ","$7,500 ","$43,700 ",249.0
2021 Ford Mustang Mach-E Route 1 ER RWD,"$50,400 ","$1,100 ","$7,500 ","$44,000 ",305.0
2021 Ford Mustang Mach-E Premium ER RWD,"$52,600 ","$1,100 ","$7,500 ","$46,200 ",300.0
2022 Volvo XC40 Recharge,"$55,300 ","$1,095 ","$7,500 ","$48,895 ",223.0
2021 Ford Mustang Mach-E Premium ER AWD,"$55,300 ","$1,100 ","$7,500 ","$48,900 ",270.0
2021 Tesla Model 3 Long Range AWD,"$49,990 ","$1,200 ",,"$51,190 ",353.0
2022 Volvo C40 Recharge,"$58,750 ","$1,095 ","$7,500 ","$52,345 ",210.0
2021 Ford Mustang Mach-E GT ER AWD,"$59,900 ","$1,100 ","$7,500 ","$53,500 ",270.0
"2021 Tesla Model Y Long Range AWD 19""","$53,990 ","$1,200 ",,"$55,190 ",326.0
