Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2023 Fisker Ocean Sport FWD (estimated shipping fee),"$24,999 ","$3,125 ",$0 ,"$28,124 ",231
2025 Nissan Leaf S,"$28,140 ","$1,140 ",$0 ,"$29,280 ",149
2024 Volkswagen ID.4 Standard,"$39,735 ","$1,425 ","$7,500 ","$33,660 ",206
2024 Fiat 500e RED,"$32,500 ","$1,595 ",$0 ,"$34,095 ",149
2025 Hyundai Kona Electric SE,"$32,875 ","$1,395 ",$0 ,"$34,270 ",200
2024 Tesla Model 3 Long Range RWD,"$42,490 ","$1,390 ","$7,500 ","$36,380 ",363
2024 Chevrolet Equinox EV 2LT FWD,"$43,295 ","$1,395 ","$7,500 ","$37,190 ",319
2025 Nissan Leaf SV Plus,"$36,190 ","$1,140 ",$0 ,"$37,330 ",212
2023 Fisker Ocean Ultra AWD (estimated shipping fee),"$34,999 ","$3,125 ",$0 ,"$38,124 ",350
2025 Hyundai Kona Electric SEL,"$36,875 ","$1,395 ",$0 ,"$38,270 ",261
2024 Hyundai Ioniq 6 SE Standard Range RWD,"$37,500 ","$1,150 ",$0 ,"$38,650 ",240
2024 Chevrolet Equinox EV 2RS FWD,"$44,795 ","$1,395 ","$7,500 ","$38,690 ",319
2024 Volkswagen ID.4 S,"$44,855 ","$1,425 ","$7,500 ","$38,780 ",206
2024 Volkswagen ID.4 Pro,"$44,875 ","$1,425 ","$7,500 ","$38,800 ",291
2024 Tesla Model Y Long Range RWD,"$44,990 ","$1,390 ","$7,500 ","$38,880 ",320
2024 Chevrolet Equinox EV 3LT FWD,"$45,295 ","$1,395 ","$7,500 ","$39,190 ",319
2025 Hyundai Kona Electric N-Line,"$38,275 ","$1,395 ",$0 ,"$39,670 ",230
2024 Tesla Model 3 RWD,"$38,990 ","$1,390 ",$0 ,"$40,380 ",272
2024 Chevrolet Equinox EV 2LT AWD,"$46,595 ","$1,395 ","$7,500 ","$40,490 ",285
2023 Fisker Ocean Extreme AWD (estimated shipping fee),"$37,499 ","$3,125 ",$0 ,"$40,624 ",360
2024 Chevrolet Equinox EV 3RS FWD,"$46,795 ","$1,395 ","$7,500 ","$40,690 ",319
2024 Nissan Ariya Engage FWD,"$39,590 ","$1,140 ",$0 ,"$40,730 ",216
2024 Kia Niro EV Wind,"$39,600 ","$1,375 ",$0 ,"$40,975 ",253
2024 Honda Prologue EX RWD,"$47,400 ","$1,395 ","$7,500 ","$41,295 ",296
2024 Tesla Model 3 Long Range AWD,"$47,490 ","$1,390 ","$7,500 ","$41,380 ",341
2025 Chevrolet Blazer EV LT AWD,"$47,600 ","$1,395 ","$7,500 ","$41,495 ",283
2024 Tesla Model Y Long Range AWD,"$47,990 ","$1,390 ","$7,500 ","$41,880 ",308
2024 Ford Mustang Mach-E Select RWD 72 kWh,"$39,995 ","$1,995 ",$0 ,"$41,990 ",250
2024 Chevrolet Equinox EV 2RS AWD,"$48,095 ","$1,395 ","$7,500 ","$41,990 ",285
2024 Nissan Ariya Venture+ FWD,"$41,190 ","$1,140 ",$0 ,"$42,330 ",304
2025 Hyundai Kona Electric Limited,"$41,050 ","$1,395 ",$0 ,"$42,445 ",261
2024 Chevrolet Equinox EV 3LT AWD,"$48,595 ","$1,395 ","$7,500 ","$42,490 ",285
2024 Volkswagen ID.4 AWD Pro,"$48,755 ","$1,425 ","$7,500 ","$42,680 ",263
2024 Chevrolet Blazer EV LT AWD,"$48,800 ","$1,395 ","$7,500 ","$42,695 ",279
2024 Hyundai Ioniq 5 SE Standard Range RWD,"$41,800 ","$1,395 ",$0 ,"$43,195 ",220
2024 Hyundai Ioniq 6 SE RWD,"$42,450 ","$1,150 ",$0 ,"$43,600 ",361
2024 Volkswagen ID.4 Pro S,"$49,995 ","$1,425 ","$7,500 ","$43,920 ",291
2024 Kia EV6 Light RWD,"$42,600 ","$1,375 ",$0 ,"$43,975 ",232
2024 Chevrolet Equinox EV 3RS AWD,"$50,095 ","$1,395 ","$7,500 ","$43,990 ",285
2024 Honda Prologue EX AWD,"$50,400 ","$1,395 ","$7,500 ","$44,295 ",281
2024 Toyota bZ4X XLE FWD,"$43,070 ","$1,395 ",$0 ,"$44,465 ",252
2024 Nissan Ariya Engage e-4ORCE AWD,"$43,590 ","$1,140 ",$0 ,"$44,730 ",205
2024 Nissan Ariya Evolve+ FWD,"$44,190 ","$1,140 ",$0 ,"$45,330 ",289
2024 Tesla Model Y Performance AWD,"$51,490 ","$1,390 ","$7,500 ","$45,380 ",279
2024 Ford Mustang Mach-E Select AWD 72 kWh,"$43,495 ","$1,995 ",$0 ,"$45,490 ",230
2024 Honda Prologue Touring RWD,"$51,700 ","$1,395 ","$7,500 ","$45,595 ",296
2024 Kia Niro EV Wave,"$44,600 ","$1,375 ",$0 ,"$45,975 ",253
2024 Ford Mustang Mach-E Premium RWD 72 kWh,"$43,995 ","$1,995 ",$0 ,"$45,990 ",250
2024 VinFast VF8 Eco,"$46,000 ",$0 ,$0 ,"$46,000 ",264
2024 Mini Countryman SE ALL4 18-inch,"$45,200 ",$995 ,$0 ,"$46,195 ",212
2024 Nissan Ariya Engage+ e-4ORCE AWD,"$45,190 ","$1,140 ",$0 ,"$46,330 ",272
2024 Subaru Solterra Premium,"$44,995 ","$1,345 ",$0 ,"$46,340 ",227
2024 Hyundai Ioniq 6 SEL RWD,"$45,250 ","$1,150 ",$0 ,"$46,400 ",305
2024 Toyota bZ4X XLE AWD,"$45,150 ","$1,395 ",$0 ,"$46,545 ",228
2024 Mini Countryman SE ALL4 19-inch,"$45,800 ",$995 ,$0 ,"$46,795 ",204
2025 Chevrolet Blazer EV RS AWD,"$52,900 ","$1,395 ","$7,500 ","$46,795 ",283
2025 Cadillac Optiq Luxury 1 AWD (estimated range),"$52,895 ","$1,495 ","$7,500 ","$46,890 ",300
2024 Chevrolet Blazer EV RS AWD,"$53,200 ","$1,395 ","$7,500 ","$47,095 ",279
2024 Hyundai Ioniq 6 SE AWD,"$45,950 ","$1,150 ",$0 ,"$47,100 ",316
2024 Hyundai Ioniq 5 SE RWD,"$45,850 ","$1,395 ",$0 ,"$47,245 ",303
2024 Kia EV6 Light Long Range RWD,"$45,950 ","$1,375 ",$0 ,"$47,325 ",310
2025 Cadillac Optiq Sport 1 AWD (estimated range),"$53,495 ","$1,495 ","$7,500 ","$47,490 ",300
2024 Volkswagen ID.4 AWD Pro S,"$53,875 ","$1,425 ","$7,500 ","$47,800 ",263
2024 Chevrolet Blazer EV RS RWD,"$54,200 ","$1,395 ","$7,500 ","$48,095 ",324
2024 Toyota bZ4X Limited FWD,"$47,180 ","$1,395 ",$0 ,"$48,575 ",236
2024 Honda Prologue Touring AWD,"$54,700 ","$1,395 ","$7,500 ","$48,595 ",281
2024 Hyundai Ioniq 5 SEL RWD,"$47,400 ","$1,395 ",$0 ,"$48,795 ",303
2024 Nissan Ariya Empower+ FWD,"$47,690 ","$1,140 ",$0 ,"$48,830 ",289
2024 Tesla Model 3 Performance AWD,"$54,990 ","$1,390 ","$7,500 ","$48,880 ",303
2024 Ford Mustang Mach-E Select AWD 91 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",400
2024 Ford Mustang Mach-E Premium AWD 72 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",230
2024 Ford Mustang Mach-E Premium RWD 91 kWh,"$46,995 ","$1,995 ",$0 ,"$48,990 ",320
2025 Cadillac Optiq Luxury 2 AWD (estimated range),"$55,095 ","$1,495 ","$7,500 ","$49,090 ",300
2024 Nissan Ariya Evolve+ e-4ORCE AWD,"$48,190 ","$1,140 ",$0 ,"$49,330 ",272
2025 Cadillac Optiq Sport 2 AWD (estimated range),"$55,595 ","$1,495 ","$7,500 ","$49,590 ",300
2024 Subaru Solterra Limited,"$48,495 ","$1,345 ",$0 ,"$49,840 ",222
2024 Hyundai Ioniq 6 SEL AWD,"$48,750 ","$1,150 ",$0 ,"$49,900 ",270
2024 Kia EV6 Wind RWD,"$48,700 ","$1,375 ",$0 ,"$50,075 ",310
2024 Toyota bZ4x Limited AWD,"$49,260 ","$1,395 ",$0 ,"$50,655 ",222
2024 Hyundai Ioniq 5 SE AWD,"$49,350 ","$1,395 ",$0 ,"$50,745 ",260
2024 Kia EV6 Light Long Range AWD,"$49,850 ","$1,375 ",$0 ,"$51,225 ",282
2024 Hyundai Ioniq 6 Limited RWD,"$50,150 ","$1,150 ",$0 ,"$51,300 ",305
2025 Polestar 2 Long Range Single Motor RWD,"$49,900 ","$1,400 ",$0 ,"$51,300 ",320
2024 Honda Prologue Elite AWD,"$57,900 ","$1,395 ","$7,500 ","$51,795 ",273
2024 VinFast VF8 Plus,"$51,800 ",$0 ,$0 ,"$51,800 ",243
2024 Ford Mustang Mach-E Premium AWD 91 kWh,"$49,995 ","$1,995 ",$0 ,"$51,990 ",300
2024 Hyundai Ioniq 5 SEL AWD,"$50,900 ","$1,395 ",$0 ,"$52,295 ",260
2024 Cadillac Lyriq Tech RWD,"$58,590 ","$1,395 ","$7,500 ","$52,485 ",314
2024 Ford E-Transit Cutaway,"$51,095 ","$2,095 ",$0 ,"$53,190 ",N/A
2024 Subary Solterra Touring,"$51,995 ","$1,345 ",$0 ,"$53,340 ",222
2024 BMW i4 eDrive35 Gran Croupe,"$52,200 ","$1,175 ",$0 ,"$53,375 ",276
2025 Genesis GV60 Standard RWD,"$52,350 ","$1,250 ",$0 ,"$53,600 ",294
2024 Ford E-Transit Chassis Cab,"$51,595 ","$2,095 ",$0 ,"$53,690 ",N/A
2024 Volvo EX40 (XC40 Recharge) Core RWD,"$52,450 ","$1,295 ",$0 ,"$53,745 ",293
2024 Kia EV6 Wind AWD,"$52,600 ","$1,375 ",$0 ,"$53,975 ",282
2024 Mercedes-Benz EQB 250+,"$53,050 ","$1,150 ",$0 ,"$54,200 ",251
2024 Kia EV6 GT-Line RWD,"$52,900 ","$1,375 ",$0 ,"$54,275 ",310
2024 Hyundai Ioniq 6 Limited AWD,"$53,450 ","$1,150 ",$0 ,"$54,600 ",270
2024 Hyundai Ioniq 5 Limited RWD,"$53,500 ","$1,395 ",$0 ,"$54,895 ",303
2024 Volvo EC40 (C40 Recharge) Core RWD,"$53,600 ","$1,295 ",$0 ,"$54,895 ",297
2024 Lexus RZ 300e Premium FWD,"$54,000 ","$1,175 ",$0 ,"$55,175 ",266
2024 Nissan Ariya Platinum+ e-4ORCE AWD,"$54,190 ","$1,140 ",$0 ,"$55,330 ",267
2024 Nissan Ariya Platinum+ e-4ORCE AWD 20-inch,"$54,190 ","$1,140 ",$0 ,"$55,330 ",257
2024 Volvo EX40 (XC40 Recharge) Core AWD,"$54,200 ","$1,295 ",$0 ,"$55,495 ",254
2024 Cadillac Lyriq Tech AWD,"$62,090 ","$1,395 ","$7,500 ","$55,985 ",307
2025 Poelstar 4 Long Range Single Motor RWD,"$54,900 ","$1,400 ",$0 ,"$56,300 ",300
2024 Audi Q4 55 e-tron Premium AWD,"$55,200 ","$1,195 ",$0 ,"$56,395 ",258
2024 Kia EV9 Light RWD,"$54,900 ","$1,495 ",$0 ,"$56,395 ",230
2024 Cadillac Lyriq Luxury 1 RWD,"$62,690 ","$1,395 ","$7,500 ","$56,585 ",314
2024 Volvo EC40 (C40 Recharge) Core AWD,"$55,350 ","$1,295 ",$0 ,"$56,645 ",257
2024 Volvo EX40 (XC40 Recharge) Plus RWD,"$55,400 ","$1,295 ",$0 ,"$56,695 ",293
2024 Volvo EC40 (C40 Recharge) Plus RWD,"$55,400 ","$1,295 ",$0 ,"$56,695 ",297
2025 Polestar 2 Long Range Dual Motor AWD,"$55,300 ","$1,400 ",$0 ,"$56,700 ",276
2024 Ford Mustang Mach-E GT AWD 91 kWh,"$54,995 ","$1,995 ",$0 ,"$56,990 ",280
2024 Cadillac Lyriq Sport 1 RWD,"$63,190 ","$1,395 ","$7,500 ","$57,085 ",314
2025 Genesis GV60 Standard RWD Plus,"$55,850 ","$1,250 ",$0 ,"$57,100 ",264
2024 F-150 Lightning XLT 4X4 98 kWh,"$62,995 ","$2,095 ","$7,500 ","$57,590 ",240
2024 Mercedes-Benz EQB 300 4Matic,"$57,200 ","$1,150 ",$0 ,"$58,350 ",205
2024 Acura ZDX A-Spec RWD,"$64,500 ","$1,350 ","$7,500 ","$58,350 ",313
2024 Hyundai Ioniq 5 Limited AWD,"$57,000 ","$1,395 ",$0 ,"$58,395 ",260
2024 Volvo EX40 (XC40 Recharge) Plus AWD,"$57,150 ","$1,295 ",$0 ,"$58,445 ",254
2024 Volvo EC40 (C40 Recharge) Plus AWD,"$57,150 ","$1,295 ",$0 ,"$58,445 ",257
2024 BMW i4 eDrive40 Gran Croupe,"$57,300 ","$1,175 ",$0 ,"$58,475 ",301
2024 Kia EV6 GT-Line AWD,"$57,600 ","$1,375 ",$0 ,"$58,975 ",252
2025 BMW i4 eDrive40 Gran Croupe,"$57,900 ","$1,175 ",$0 ,"$59,075 ",318
2024 Audi Q4 Sportback e-tron Premium AWD,"$58,200 ","$1,195 ",$0 ,"$59,395 ",258
2024 Lexus RZ 450e Premium AWD,"$58,700 ","$1,175 ",$0 ,"$59,875 ",220
2024 Ford E-Transit Cargo Van,"$57,935 ","$2,095 ",$0 ,"$60,030 ",159
2024 Cadillac Lyriq Luxury 1 AWD,"$66,190 ","$1,395 ","$7,500 ","$60,085 ",307
2024 Volvo EX40 (XC40 Recharge) Ultimate RWD,"$58,800 ","$1,295 ",$0 ,"$60,095 ",293
2024 Volvo EC40 (C40 Recharge) Ultimate RWD,"$58,800 ","$1,295 ",$0 ,"$60,095 ",297
2024 Cadillac Lyriq Sport 1 AWD,"$66,690 ","$1,395 ","$7,500 ","$60,585 ",307
2024 Kia EV9 Light Long Range RWD,"$59,200 ","$1,495 ",$0 ,"$60,695 ",304
2024 Hyundai Ioniq 5 D100 Platinum Edition AWD,"$59,400 ","$1,395 ",$0 ,"$60,795 ",260
2024 Cadillac Lyriq Luxury 2 RWD,"$66,990 ","$1,395 ","$7,500 ","$60,885 ",314
2024 Lexus RZ 300e Luxury FWD,"$59,730 ","$1,175 ",$0 ,"$60,905 ",224
2024 Ford Mustang Mach-E Rally AWD 91 kWh,"$58,995 ","$1,995 ",$0 ,"$60,990 ",265
2024 Audi Q4 55 e-tron Premium Plus AWD,"$59,900 ","$1,195 ",$0 ,"$61,095 ",258
2024 Cadillac Lyriq Sport 2 RWD,"$67,490 ","$1,395 ","$7,500 ","$61,385 ",314
2024 Volvo EX40 (XC40 Recharge) Ultimate AWD,"$60,550 ","$1,295 ",$0 ,"$61,845 ",254
2024 Volvo EC40 (C40 Recharge) Ultimate AWD,"$60,550 ","$1,295 ",$0 ,"$61,845 ",257
2024 Mercedes-Benz EQB 350 4Matic,"$60,850 ","$1,150 ",$0 ,"$62,000 ",207
2025 Genesis GV60 Advanced AWD,"$60,900 ","$1,250 ",$0 ,"$62,150 ",N/A
2024 Acura ZDX A-Spec AWD,"$68,500 ","$1,350 ","$7,500 ","$62,350 ",304
2024 Ford F-150 Lightning Flash 4X4 131 kWh,"$67,995 ","$2,095 ","$7,500 ","$62,590 ",320
2024 BMW i4 xDrive40 Gran Croupe,"$61,600 ","$1,175 ",$0 ,"$62,775 ",307
2024 Kia EV6 GT AWD,"$61,600 ","$1,375 ",$0 ,"$62,975 ",218
2024 Audi Q4 e-tron 55 Prestige AWD,"$62,200 ","$1,195 ",$0 ,"$63,395 ",258
2025 BMW i4 xDrive40 Gran Croupe,"$62,300 ","$1,175 ",$0 ,"$63,475 ",287
2024 Audi Q4 Sportback e-tron Premium Plus AWD,"$62,900 ","$1,195 ",$0 ,"$64,095 ",258
2025 Polestar 4 Long Range Dual Motor AWD,"$62,900 ","$1,400 ",$0 ,"$64,300 ",270
2024 Cadillac Lyriq Luxury 2 AWD,"$70,490 ","$1,395 ","$7,500 ","$64,385 ",307
2024 Cadillac Lyriq Luxury 3 RWD,"$70,590 ","$1,395 ","$7,500 ","$64,485 ",314
2024 Cadillac Lyriq Sport 2 AWD,"$70,990 ","$1,395 ","$7,500 ","$64,885 ",307
2024 Cadillac Lyriq Sport 3 RWD,"$71,090 ","$1,395 ","$7,500 ","$64,985 ",314
2024 Kia EV9 Wind AWD,"$63,900 ","$1,495 ",$0 ,"$65,395 ",280
2024 Lexus RZ 450e Luxury AWD,"$64,430 ","$1,175 ",$0 ,"$65,605 ",196
2024 Audi Q4 Sportback e-tron Prestige AWD,"$65,200 ","$1,195 ",$0 ,"$66,395 ",258
2024 Acura ZDX Type S AWD,"$73,500 ","$1,350 ","$7,500 ","$67,350 ",278
2025 Hyundai Iniq 5 N AWD,"$66,100 ","$1,395 ",$0 ,"$67,495 ",221
2024 Cadillac Lyriq Luxury 3 AWD,"$74,090 ","$1,395 ","$7,500 ","$67,985 ",307
2025 BMW i5 eDrive40,"$67,100 ","$1,175 ",$0 ,"$68,275 ",295
2025 Genesis Electrified GV70 AWD,"$66,950 ","$1,350 ",$0 ,"$68,300 ",N/A
2024 Acura ZDX Type S AWD Performance Wheels & Tires,"$74,500 ","$1,350 ","$7,500 ","$68,350 ",278
2024 Cadillac Lyriq Sport 3 AWD,"$74,590 ","$1,395 ","$7,500 ","$68,485 ",307
2025 Rivian R1T Dual Standard,"$69,900 ",$0 ,$0 ,"$69,900 ",270
2024 BMW i4 M50 Gran Croupe,"$69,700 ","$1,175 ",$0 ,"$70,875 ",269
2025 Genesis GV60 Performance AWD,"$69,900 ","$1,250 ",$0 ,"$71,150 ",N/A
2025 BMW i5 xDrive40,"$70,100 ","$1,175 ",$0 ,"$71,275 ",266
2024 Kia EV9 Land AWD,"$69,900 ","$1,495 ",$0 ,"$71,395 ",280
2025 Lucid Air Pure,"$69,900 ","$1,500 ",$0 ,"$71,400 ",420
2024 Ford F-150 Lightning Lariat 4X4 131 kWh,"$76,995 ","$2,095 ","$7,500 ","$71,590 ",320
2025 BMW i4 M50 Gran Coupe,"$70,700 ","$1,175 ",$0 ,"$71,875 ",267
2025 Rivian R1T Dual Large,"$76,900 ",$0 ,"$3,750 ","$73,150 ",330
2024 VinFast VF9 Plus,"$73,800 ",$0 ,$0 ,"$73,800 ",291
2024 Jaguar I-Pace R-Dynamic HSE EV400 20-inch,"$72,500 ","$1,375 ",$0 ,"$73,875 ",246
2024 Tesla Model X AWD,"$79,990 ","$1,390 ","$7,500 ","$73,880 ",335
2025 Polestar 3 Long Range Dual Motor AWD,"$73,400 ","$1,400 ",$0 ,"$74,800 ",315
2024 Chevrolet Silverado EV 3WT,"$72,905 ","$1,995 ",$0 ,"$74,900 ",393
2024 Kia EV9 GT-Line AWD,"$73,900 ","$1,495 ",$0 ,"$75,395 ",270
2024 Audi Q8 e-tron Premium AWD,"$74,400 ","$1,195 ",$0 ,"$75,595 ",285
2024 Genesis Electrified G80 Advanced AWD,"$74,375 ","$1,250 ",$0 ,"$75,625 ",282
2024 Jaguar I-Pace R-Dynamic HSE EV400 22-inch,"$74,500 ","$1,375 ",$0 ,"$75,875 ",217
2025 Rivian R1S Dual Standard,"$75,900 ",$0 ,$0 ,"$75,900 ",270
2024 Mercedes-Benz EQE 350+ Sedan,"$74,900 ","$1,150 ",$0 ,"$76,050 ",298
2024 Tesla Model S AWD,"$74,990 ","$1,390 ",$0 ,"$76,380 ",402
2024 Audi Q8 Sportback e-tron Premium Ultra AWD,"$77,800 ","$1,195 ",$0 ,"$78,995 ",300
2024 Audi Q8 Sportback e-tron Premium AWD,"$77,800 ","$1,195 ",$0 ,"$78,995 ",296
2024 Mercedes-Benz EQE 350 4Matic Sedan,"$77,900 ","$1,150 ",$0 ,"$79,050 ",280
