County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range,Source
king,47.67887,-122.2066,2024,ACURA,ZDX,BEV,Unknown,2024 ACURA ZDX,2411700,154490,74500,0,0,0,278,api.marketcheck.com
king,47.49408,-122.36178,2024,ALFA ROMEO,TONALE,PHEV,Eligible,2024 ALFA ROMEO TONALE,2411700,154490,42995,0,0,0,33,Edmunds
king,47.72656,-122.30253,2025,ALFA ROMEO,TONALE,PHEV,Eligible,2025 ALFA ROMEO TONALE,2411700,154490,45995,0,0,0,33,Edmunds
king,47.54748,-122.00292,2024,AUDI,Q4,BEV,Unknown,2024 AUDI Q4,2411700,154490,49800,0,0,0,265,edmunds.com
snohomish,47.8623,-121.81688,2024,AUDI,SQ8,BEV,Unknown,2024 AUDI SQ8,873800,127475,96000,0,0,0,253,audiclubna.org
snohomish,48.01497,-122.06402,2024,AUDI,Q8,BEV,Unknown,2024 AUDI Q8,873800,127475,74400,0,0,0,285,carscoops.com
spokane,47.7333,-117.45005,2024,AUDI,Q5 E,PHEV,Not eligible,2024 AUDI Q5 E,566000,94226,57800,0,0,0,23,Edmunds
whatcom,48.84787,-122.5945,2024,AUDI,RS E-TRON GT,BEV,Unknown,2024 AUDI RS E-TRON GT,240500,102596,147100,0,0,0,249,Edmunds
king,47.70044,-122.38418,2023,AUDI,E-TRON GT,BEV,Unknown,2023 AUDI E-TRON GT,2411700,154490,104900,0,0,0,238,Edmunds
king,47.64085,-122.30207,2023,AUDI,Q5 E,PHEV,Not eligible,2023 AUDI Q5 E,2411700,154490,57400,0,0,0,23,CarMax
king,47.64085,-122.30207,2023,AUDI,E-TRON,BEV,Unknown,2023 AUDI E-TRON,2411700,154490,70800,0,0,0,226,edmunds.com
king,47.71871,-122.35029,2023,AUDI,Q4,BEV,Unknown,2023 AUDI Q4,2411700,154490,49800,0,0,0,265,edmunds.com
king,47.55115,-122.2668,2023,AUDI,RS E-TRON GT,BEV,Unknown,2023 AUDI RS E-TRON GT,2411700,154490,143900,0,0,0,232,Edmunds
king,47.44929,-122.4573,2025,AUDI,Q6,BEV,Unknown,2025 AUDI Q6,2411700,154490,63800,0,0,0,321,Audi USA
