County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range
king,47.67887,-122.2066,2024,ACURA,ZDX,BEV,Unknown,2024 ACURA ZDX,2411700,154490,0,0,0,0,0
king,47.49408,-122.36178,2024,ALFA ROMEO,TONALE,PHEV,Eligible,2024 ALFA ROMEO TONALE,2411700,154490,0,0,0,0,33
king,47.72656,-122.30253,2025,ALFA ROMEO,TONALE,PHEV,Eligible,2025 ALFA ROMEO TONALE,2411700,154490,0,0,0,0,33
king,47.54748,-122.00292,2024,AUDI,Q4,BEV,Unknown,2024 AUDI Q4,2411700,154490,0,0,0,0,0
snohomish,47.8623,-121.81688,2024,AUDI,SQ8,BEV,Unknown,2024 AUDI SQ8,873800,127475,0,0,0,0,0
snohomish,48.01497,-122.06402,2024,AUDI,Q8,BEV,Unknown,2024 AUDI Q8,873800,127475,0,0,0,0,0
spokane,47.7333,-117.45005,2024,AUDI,Q5 E,PHEV,Not eligible,2024 AUDI Q5 E,566000,94226,0,0,0,0,23
whatcom,48.84787,-122.5945,2024,AUDI,RS E-TRON GT,BEV,Unknown,2024 AUDI RS E-TRON GT,240500,102596,0,0,0,0,0
king,47.70044,-122.38418,2023,AUDI,E-TRON GT,BEV,Unknown,2023 AUDI E-TRON GT,2411700,154490,0,0,0,0,0
king,47.64085,-122.30207,2023,AUDI,Q5 E,PHEV,Not eligible,2023 AUDI Q5 E,2411700,154490,0,0,0,0,23
king,47.64085,-122.30207,2023,AUDI,E-TRON,BEV,Unknown,2023 AUDI E-TRON,2411700,154490,0,0,0,0,0
king,47.71871,-122.35029,2023,AUDI,Q4,BEV,Unknown,2023 AUDI Q4,2411700,154490,0,0,0,0,0
king,47.55115,-122.2668,2023,AUDI,RS E-TRON GT,BEV,Unknown,2023 AUDI RS E-TRON GT,2411700,154490,0,0,0,0,0
king,47.44929,-122.4573,2025,AUDI,Q6,BEV,Unknown,2025 AUDI Q6,2411700,154490,0,0,0,0,0
snohomish,47.83448,-122.21061,2025,AUDI,Q4,BEV,Unknown,2025 AUDI Q4,873800,127475,0,0,0,0,0
franklin,46.23542,-119.09467,2025,AUDI,Q5 E,PHEV,Not eligible,2025 AUDI Q5 E,103250,88256,0,0,0,0,28
pierce,47.19045,-122.29521,2025,AUDI,SQ6,BEV,Unknown,2025 AUDI SQ6,959900,111126,0,0,0,0,0
king,47.49348,-121.7831,2025,AUDI,S E-TRON GT,BEV,Unknown,2025 AUDI S E-TRON GT,2411700,154490,0,0,0,0,0
king,47.44929,-122.4573,2025,AUDI,S6,BEV,Unknown,2025 AUDI S6,2411700,154490,0,0,0,0,0
king,47.68555,-122.03287,2025,AUDI,RS E-TRON GT,BEV,Unknown,2025 AUDI RS E-TRON GT,2411700,154490,0,0,0,0,0
king,47.70044,-122.38418,2019,AUDI,E-TRON,BEV,Eligible,2019 AUDI E-TRON,2411700,154490,0,0,0,0,204
spokane,47.63374,-117.39322,2020,AUDI,Q5 E,PHEV,Not eligible,2020 AUDI Q5 E,566000,94226,0,0,0,0,20
spokane,47.64779,-117.42571,2020,AUDI,E-TRON SPORTBACK,BEV,Eligible,2020 AUDI E-TRON SPORTBACK,566000,94226,0,0,0,0,218
snohomish,48.19471,-122.1264,2020,AUDI,A8 E,PHEV,Not eligible,2020 AUDI A8 E,873800,127475,0,0,0,0,17
king,47.68555,-122.03287,2016,AUDI,A3,PHEV,Not eligible,2016 AUDI A3,2411700,154490,0,0,0,0,16
pierce,47.28596,-122.37684,2017,AUDI,A3,PHEV,Not eligible,2017 AUDI A3,959900,111126,0,0,0,0,16
snohomish,47.83448,-122.21061,2018,AUDI,A3,PHEV,Not eligible,2018 AUDI A3,873800,127475,0,0,0,0,16
king,47.56812,-121.89086,2022,AUDI,E-TRON SPORTBACK,BEV,Unknown,2022 AUDI E-TRON SPORTBACK,2411700,154490,0,0,0,0,0
king,47.57816,-122.21238,2022,AUDI,E-TRON,BEV,Unknown,2022 AUDI E-TRON,2411700,154490,0,0,0,0,0
king,47.65908,-122.40092,2022,AUDI,RS E-TRON GT,BEV,Unknown,2022 AUDI RS E-TRON GT,2411700,154490,0,0,0,0,0
snohomish,47.8031,-122.18384,2022,AUDI,Q5,PHEV,Not eligible,2022 AUDI Q5,873800,127475,0,0,0,0,23
king,47.74068,-121.98609,2022,AUDI,Q4,BEV,Unknown,2022 AUDI Q4,2411700,154490,0,0,0,0,0
king,47.60803,-122.31009,2021,AUDI,Q5 E,PHEV,Not eligible,2021 AUDI Q5 E,2411700,154490,0,0,0,0,18
snohomish,48.24159,-122.37265,2021,AUDI,A7 E,PHEV,Not eligible,2021 AUDI A7 E,873800,127475,0,0,0,0,24
whatcom,48.72052,-122.68326,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,BEV,Eligible,2011 AZURE DYNAMICS TRANSIT CONNECT ELECTRIC,240500,102596,0,0,0,0,56
clark,45.81539,-122.74595,2025,BENTLEY,CONTINENTAL,PHEV,Eligible,2025 BENTLEY CONTINENTAL,542400,108973,0,0,0,0,50
king,47.61001,-122.1872,2025,BENTLEY,FLYING SPUR,PHEV,Eligible,2025 BENTLEY FLYING SPUR,2411700,154490,0,0,0,0,45
clark,45.58694,-122.40199,2024,BENTLEY,BENTAYGA,PHEV,Not eligible,2024 BENTLEY BENTAYGA,542400,108973,0,0,0,0,28
yakima,46.60464,-120.50729,2022,BENTLEY,FLYING SPUR,PHEV,Not eligible,2022 BENTLEY FLYING SPUR,264650,76662,0,0,0,0,21
snohomish,47.89908,-122.29196,2021,BENTLEY,BENTAYGA,PHEV,Not eligible,2021 BENTLEY BENTAYGA,873800,127475,0,0,0,0,17
benton,46.27391,-119.27372,2023,BENTLEY,BENTAYGA,PHEV,Not eligible,2023 BENTLEY BENTAYGA,219625,103290,0,0,0,0,23
king,47.72201,-122.22901,2024,BMW,IX,BEV,Unknown,2024 BMW IX,2411700,154490,0,0,0,0,0
king,47.54748,-122.00292,2024,BMW,X5,PHEV,Eligible,2024 BMW X5,2411700,154490,0,0,0,0,39
king,47.49461,-122.23825,2024,BMW,I4,BEV,Unknown,2024 BMW I4,2411700,154490,0,0,0,0,0
king,47.64441,-122.1621,2024,BMW,I5,BEV,Unknown,2024 BMW I5,2411700,154490,0,0,0,0,0
king,47.72656,-122.30253,2024,BMW,330E,PHEV,Not eligible,2024 BMW 330E,2411700,154490,0,0,0,0,20
king,47.67858,-122.13158,2024,BMW,I7,BEV,Unknown,2024 BMW I7,2411700,154490,0,0,0,0,0
king,47.50314,-122.3317,2024,BMW,XM,PHEV,Eligible,2024 BMW XM,2411700,154490,0,0,0,0,31
pierce,47.328,-122.58009,2024,BMW,750E,PHEV,Eligible,2024 BMW 750E,959900,111126,0,0,0,0,36
king,47.61334,-122.12056,2023,BMW,530E,PHEV,Not eligible,2023 BMW 530E,2411700,154490,0,0,0,0,21
king,47.55584,-122.12096,2023,BMW,330E,PHEV,Not eligible,2023 BMW 330E,2411700,154490,0,0,0,0,20
king,47.57894,-122.41067,2023,BMW,I4,BEV,Unknown,2023 BMW I4,2411700,154490,0,0,0,0,0
king,47.57894,-122.41067,2023,BMW,IX,BEV,Unknown,2023 BMW IX,2411700,154490,0,0,0,0,0
king,47.67596,-122.35436,2023,BMW,X5,PHEV,Eligible,2023 BMW X5,2411700,154490,0,0,0,0,30
king,47.61001,-122.1872,2023,BMW,I7,BEV,Unknown,2023 BMW I7,2411700,154490,0,0,0,0,0
kitsap,47.50524,-122.68471,2025,BMW,X5,PHEV,Eligible,2025 BMW X5,288900,114590,0,0,0,0,40
king,47.61001,-122.1872,2025,BMW,I4,BEV,Unknown,2025 BMW I4,2411700,154490,0,0,0,0,0
king,47.57816,-122.21238,2025,BMW,IX,BEV,Unknown,2025 BMW IX,2411700,154490,0,0,0,0,0
king,47.55115,-122.2668,2025,BMW,I5,BEV,Unknown,2025 BMW I5,2411700,154490,0,0,0,0,0
king,47.67858,-122.13158,2025,BMW,M5,PHEV,Not eligible,2025 BMW M5,2411700,154490,0,0,0,0,25
king,47.40173,-122.3219,2025,BMW,XM,PHEV,Eligible,2025 BMW XM,2411700,154490,0,0,0,0,31
king,47.63824,-122.35022,2025,BMW,550E,PHEV,Eligible,2025 BMW 550E,2411700,154490,0,0,0,0,40
pierce,47.19175,-122.17144,2025,BMW,I7,BEV,Unknown,2025 BMW I7,959900,111126,0,0,0,0,0
thurston,47.03954,-122.89165,2026,BMW,X5,PHEV,Eligible,2026 BMW X5,309100,111908,0,0,0,0,38
king,47.67858,-122.13158,2026,BMW,IX,BEV,Unknown,2026 BMW IX,2411700,154490,0,0,0,0,0
king,47.70044,-122.38418,2026,BMW,I5,BEV,Unknown,2026 BMW I5,2411700,154490,0,0,0,0,0
